<!DOCTYPE html><html><head><meta name="google" content="notranslate"><meta name="viewport" content="target-densitydpi=device-dpi,user-scalable=1,minimum-scale=1,maximum-scale=2.5,initial-scale=1,width=device-width"><meta http-equiv="X-UA-Compatible" content="IE=edge;"><meta name="referrer" content="origin"><title>Beer - Google Drive</title><link rel="shortcut icon" href="//ssl.gstatic.com/docs/spreadsheets/favicon3.ico"><link href='/static/spreadsheets2/client/css/156098192-waffle_k_ltr.css' type='text/css' rel='stylesheet' nonce="cWyCeToPBulVaIqjbvuMKw"><style type="text/css" nonce="cWyCeToPBulVaIqjbvuMKw">
        .ritz .waffle a { color: inherit; }.ritz .waffle .s24{background-color:#ddf2f0;text-align:right;color:#000000;font-family:'docs-Poppins',Arial;font-size:12pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s25{background-color:#ddf2f0;text-align:left;color:#000000;font-family:'docs-Poppins',Arial;font-size:12pt;vertical-align:middle;white-space:normal;overflow:hidden;word-wrap:break-word;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s16{background-color:#26a69a;text-align:left;font-weight:bold;color:#000000;font-family:'docs-Poppins',Arial;font-size:12pt;vertical-align:middle;white-space:normal;overflow:hidden;word-wrap:break-word;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s21{background-color:#ffffff;text-align:left;color:#000000;font-family:'docs-Poppins',Arial;font-size:12pt;vertical-align:middle;white-space:normal;overflow:hidden;word-wrap:break-word;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s0{background-color:#5b95f9;text-align:center;font-weight:bold;color:#000000;font-family:'docs-Poppins',Arial;font-size:13pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s17{background-color:#26a69a;text-align:left;color:#000000;font-family:'docs-Poppins',Arial;font-size:12pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s6{text-overflow: ellipsis;overflow: hidden;vertical-align: top;display: inline-block;height: fit-content;border-radius: 8px;}.ritz .waffle .s19{background-color:#ffffff;text-align:center;color:#000000;font-family:'docs-Poppins',Arial;font-size:12pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s20{background-color:#ffffff;text-align:right;color:#000000;font-family:'docs-Poppins',Arial;font-size:12pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s4{background-color:#ffffff;text-align:center;font-weight:bold;color:#000000;font-family:'docs-Poppins',Arial;font-size:13pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s23{background-color:#ddf2f0;text-align:center;color:#000000;font-family:'docs-Poppins',Arial;font-size:12pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s11{background-color:#e8f0fe;text-align:center;color:#000000;font-family:'docs-Poppins',Arial;font-size:13pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s7{background-color:#ffffff;text-align:center;color:#000000;font-family:'docs-Poppins',Arial;font-size:13pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s12{background-color:#e8f0fe;text-align:left;color:#000000;font-family:'docs-Poppins',Arial;font-size:13pt;vertical-align:middle;white-space:normal;overflow:hidden;word-wrap:break-word;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s2{background-color:#5b95f9;text-align:right;font-weight:bold;color:#000000;font-family:'docs-Poppins',Arial;font-size:13pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s22{background-color:#ddf2f0;text-align:left;color:#000000;font-family:'docs-Poppins',Arial;font-size:12pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s9{background-color:#e8f0fe;text-align:center;font-weight:bold;color:#000000;font-family:'docs-Poppins',Arial;font-size:13pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s1{background-color:#5b95f9;text-align:left;font-weight:bold;color:#000000;font-family:'docs-Poppins',Arial;font-size:13pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s5{background-color:#ffffff;text-align:left;color:#000000;font-family:'docs-Poppins',Arial;font-size:13pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s13{background-color:#26a69a;text-align:left;font-weight:bold;color:#000000;font-family:'docs-Poppins',Arial;font-size:12pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s14{background-color:#26a69a;text-align:center;font-weight:bold;color:#000000;font-family:'docs-Poppins',Arial;font-size:12pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s18{background-color:#ffffff;text-align:left;color:#000000;font-family:'docs-Poppins',Arial;font-size:12pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s8{background-color:#ffffff;text-align:left;color:#000000;font-family:'docs-Poppins',Arial;font-size:13pt;vertical-align:middle;white-space:normal;overflow:hidden;word-wrap:break-word;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s15{background-color:#26a69a;text-align:right;font-weight:bold;color:#000000;font-family:'docs-Poppins',Arial;font-size:12pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s3{background-color:#5b95f9;text-align:left;font-weight:bold;color:#000000;font-family:'docs-Poppins',Arial;font-size:13pt;vertical-align:middle;white-space:normal;overflow:hidden;word-wrap:break-word;direction:ltr;padding:0px 3px 0px 3px;}.ritz .waffle .s10{background-color:#e8f0fe;text-align:left;color:#000000;font-family:'docs-Poppins',Arial;font-size:13pt;vertical-align:middle;white-space:nowrap;direction:ltr;padding:0px 3px 0px 3px;}</style><script type="text/javascript" nonce="8nTu1-UXdTh1Jq-sSUFf8w">
        var activeSheetId;

        function switchToSheet(id) {
          if (document.getElementById('sheet-menu')) {
            document.getElementById('sheet-button-' + activeSheetId)
                .className = '';
            document.getElementById('sheet-button-' + id).className = 'active';
          }

          document.getElementById(activeSheetId).style.display = 'none';
          document.getElementById(id).style.display = '';
          activeSheetId = id;

          // posObjs() is defined in embeddedObjectJs (see EmbeddedObjectHtmlBuilder.java)
          posObjs();
          return false;
        }
        
        function init() {
        var optPageSwitcher;
        
        function resize() {
          var optMobileWebHeader = document.getElementById('docs-ml-header-id');
          var optTopBar = document.getElementById('top-bar');
          var optFooter = document.getElementById('footer');
          var sheetsViewport = document.getElementById('sheets-viewport');

          if (optMobileWebHeader) {
            sheetsViewport.style.marginTop = optMobileWebHeader.offsetHeight +
                (optTopBar ? optTopBar.offsetHeight : 0) + 'px';
          }
          var adjustedHeight = window.innerHeight -
              (optTopBar ? optTopBar.offsetHeight : 0) -
              (optFooter ? optFooter.offsetHeight : 0);
          var adjustedWidth = window.innerWidth;
          sheetsViewport.style.width = (adjustedWidth + 'px');
          sheetsViewport.style.height = (adjustedHeight + 'px');
          if (optPageSwitcher) {
            optPageSwitcher.resize(adjustedWidth, adjustedHeight);
          }
        }
        resize();
        window.onresize = resize;
        var currentUrl = window.location.href;
        var newUrl = currentUrl.replace('?sle=true&', '?');
        newUrl = newUrl.replace('?sle=true', '');
        newUrl = newUrl.replace('&sle=true&', '&');
        newUrl = newUrl.replace('&sle=true', '');
        window.history.replaceState(null, '', newUrl);
        }
